cafe_id,day_of_week,open_time,close_time,is_closed
"ChIJB4hPhbMDv4cRNwSItRlx1Mk","1","","",true
"ChIJB4hPhbMDv4cRNwSItRlx1Mk","2","","",true
"ChIJB4hPhbMDv4cRNwSItRlx1Mk","3","10:00 AM","06:00 PM",false
"ChIJB4hPhbMDv4cRNwSItRlx1Mk","4","10:00 AM","06:00 PM",false
"ChIJB4hPhbMDv4cRNwSItRlx1Mk","5","10:00 AM","06:00 PM",false
"ChIJB4hPhbMDv4cRNwSItRlx1Mk","6","10:00 AM","06:00 PM",false
"ChIJB4hPhbMDv4cRNwSItRlx1Mk","7","10:00 AM","06:00 PM",false
"ChIJcwFgy3m_wIcR40PEx7u7D9g","1","09:00 AM","07:00 PM",false
"ChIJcwFgy3m_wIcR40PEx7u7D9g","2","09:00 AM","07:00 PM",false
"ChIJcwFgy3m_wIcR40PEx7u7D9g","3","09:00 AM","07:00 PM",false
"ChIJcwFgy3m_wIcR40PEx7u7D9g","4","09:00 AM","07:00 PM",false
"ChIJcwFgy3m_wIcR40PEx7u7D9g","5","09:00 AM","07:00 PM",false
"ChIJcwFgy3m_wIcR40PEx7u7D9g","6","09:00 AM","05:00 PM",false
"ChIJcwFgy3m_wIcR40PEx7u7D9g","7","12:00 PM","05:00 PM",false
"ChIJrQ_nrRFvv4cRH_EvwCIO8R8","1","","",true
"ChIJrQ_nrRFvv4cRH_EvwCIO8R8","2","","",true
"ChIJrQ_nrRFvv4cRH_EvwCIO8R8","3","08:00 AM","06:00 PM",false
"ChIJrQ_nrRFvv4cRH_EvwCIO8R8","4","08:00 AM","06:00 PM",false
"ChIJrQ_nrRFvv4cRH_EvwCIO8R8","5","08:00 AM","06:00 PM",false
"ChIJrQ_nrRFvv4cRH_EvwCIO8R8","6","08:00 AM","06:00 PM",false
"ChIJrQ_nrRFvv4cRH_EvwCIO8R8","7","08:00 AM","06:00 PM",false
"ChIJLyFfiXWZ54kRcxq-JbY4VTM","1","","",true
"ChIJLyFfiXWZ54kRcxq-JbY4VTM","2","","",true
"ChIJLyFfiXWZ54kRcxq-JbY4VTM","3","","",true
"ChIJLyFfiXWZ54kRcxq-JbY4VTM","4","10:00 AM","07:00 PM",false
"ChIJLyFfiXWZ54kRcxq-JbY4VTM","5","10:00 AM","07:00 PM",false
"ChIJLyFfiXWZ54kRcxq-JbY4VTM","6","10:00 AM","07:00 PM",false
"ChIJLyFfiXWZ54kRcxq-JbY4VTM","7","10:00 AM","07:00 PM",false
"ChIJdxwV6ilawokRjxYl79m1BzQ","1","11:00 AM","06:00 PM",false
"ChIJdxwV6ilawokRjxYl79m1BzQ","2","11:00 AM","06:00 PM",false
"ChIJdxwV6ilawokRjxYl79m1BzQ","3","11:00 AM","06:00 PM",false
"ChIJdxwV6ilawokRjxYl79m1BzQ","4","11:00 AM","06:00 PM",false
"ChIJdxwV6ilawokRjxYl79m1BzQ","5","11:00 AM","07:00 PM",false
"ChIJdxwV6ilawokRjxYl79m1BzQ","6","11:00 AM","07:00 PM",false
"ChIJdxwV6ilawokRjxYl79m1BzQ","7","11:00 AM","07:00 PM",false
"ChIJdeqdNhLZ54kRWxr_KDfhZXA","1","10:00 AM","07:00 PM",false
"ChIJdeqdNhLZ54kRWxr_KDfhZXA","2","10:00 AM","07:00 PM",false
"ChIJdeqdNhLZ54kRWxr_KDfhZXA","3","","",true
"ChIJdeqdNhLZ54kRWxr_KDfhZXA","4","10:00 AM","07:00 PM",false
"ChIJdeqdNhLZ54kRWxr_KDfhZXA","5","10:00 AM","07:00 PM",false
"ChIJdeqdNhLZ54kRWxr_KDfhZXA","6","10:00 AM","07:00 PM",false
"ChIJdeqdNhLZ54kRWxr_KDfhZXA","7","10:00 AM","07:00 PM",false
"ChIJAYsFhkVawokRw3cAQ-2bsqo","1","12:00 PM","07:00 PM",false
"ChIJAYsFhkVawokRw3cAQ-2bsqo","2","","",true
"ChIJAYsFhkVawokRw3cAQ-2bsqo","3","","",true
"ChIJAYsFhkVawokRw3cAQ-2bsqo","4","","",true
"ChIJAYsFhkVawokRw3cAQ-2bsqo","5","02:00 PM","07:00 PM",false
"ChIJAYsFhkVawokRw3cAQ-2bsqo","6","11:00 AM","07:00 PM",false
"ChIJAYsFhkVawokRw3cAQ-2bsqo","7","11:00 AM","07:00 PM",false
"ChIJY-EMiy9VwokRsJnbr5bhi8M","1","","",true
"ChIJY-EMiy9VwokRsJnbr5bhi8M","2","","",true
"ChIJY-EMiy9VwokRsJnbr5bhi8M","3","","",true
"ChIJY-EMiy9VwokRsJnbr5bhi8M","4","03:00 PM","07:00 PM",false
"ChIJY-EMiy9VwokRsJnbr5bhi8M","5","04:00 PM","08:00 PM",false
